symbol,keep,remove_reason,latest_date,latest_close,avg_amount,avg_turnover,avg_volatility,price_range_60d,recent_20d_return,avg_main_force_score,avg_rainbow_score
688001,False,历史数据不足(155),,,,,,,,,
688002,False,历史数据不足(155),,,,,,,,,
688003,False,历史数据不足(155),,,,,,,,,
688005,False,历史数据不足(152),,,,,,,,,
688006,False,历史数据不足(155),,,,,,,,,
688008,False,历史数据不足(155),,,,,,,,,
688012,False,历史数据不足(146),,,,,,,,,
688017,False,历史数据不足(155),,,,,,,,,
688018,False,历史数据不足(155),,,,,,,,,
688019,False,历史数据不足(155),,,,,,,,,
688020,False,历史数据不足(155),,,,,,,,,
688025,False,历史数据不足(155),,,,,,,,,
688027,False,历史数据不足(151),,,,,,,,,
688028,False,历史数据不足(155),,,,,,,,,
688031,False,历史数据不足(155),,,,,,,,,
688032,False,历史数据不足(155),,,,,,,,,
688035,False,历史数据不足(155),,,,,,,,,
688036,False,历史数据不足(155),,,,,,,,,
688037,False,历史数据不足(152),,,,,,,,,
688041,False,历史数据不足(145),,,,,,,,,
688047,False,历史数据不足(155),,,,,,,,,
688048,False,历史数据不足(155),,,,,,,,,
688049,False,历史数据不足(155),,,,,,,,,
688052,False,历史数据不足(155),,,,,,,,,
688059,False,历史数据不足(155),,,,,,,,,
688062,False,历史数据不足(155),,,,,,,,,
688063,False,历史数据不足(155),,,,,,,,,
688065,False,历史数据不足(155),,,,,,,,,
688066,False,历史数据不足(148),,,,,,,,,
688068,False,历史数据不足(155),,,,,,,,,
688069,False,成交额低(110350055),2026-05-13,55.48,110350054.53866667,2.5559966666666667,0.05009162301886887,1.4291091593475533,0.5672316384180791,24.833333333333332,86.0
688072,False,历史数据不足(155),,,,,,,,,
688079,False,历史数据不足(155),,,,,,,,,
688082,False,历史数据不足(155),,,,,,,,,
688083,False,历史数据不足(155),,,,,,,,,
688088,False,历史数据不足(155),,,,,,,,,
688090,False,历史数据不足(155),,,,,,,,,
688091,False,历史数据不足(155),,,,,,,,,
688095,False,趋势长期弱(9.0),2026-05-13,80.45,202568900.2135,2.776846666666666,0.03154744171073987,0.4593040847201211,0.11072759906116247,13.5,9.0
688097,False,历史数据不足(155),,,,,,,,,
688099,False,历史数据不足(155),,,,,,,,,
688102,False,历史数据不足(155),,,,,,,,,
688106,False,历史数据不足(155),,,,,,,,,
688107,False,历史数据不足(155),,,,,,,,,
688108,False,历史数据不足(155),,,,,,,,,
688110,False,历史数据不足(152),,,,,,,,,
688111,False,历史数据不足(155),,,,,,,,,
688112,False,历史数据不足(155),,,,,,,,,
688114,False,成交额低(184704224)；换手率低(0.82)；趋势长期弱(9.3),2026-05-13,51.65,184704223.7038333,0.8185516666666666,0.027267407458128404,0.47148936170212763,0.023177496038034873,9.833333333333334,9.333333333333334
688148,False,成交额低(199432784),2026-05-13,10.85,199432784.16666666,4.206225,0.030424743494526944,0.5350993377483444,0.21636771300448432,20.833333333333332,29.333333333333332
688159,False,成交额低(192254033),2026-05-13,67.48,192254032.9395,4.291555,0.04518063660395759,0.8124344176285416,0.6374666343120603,26.166666666666668,15.333333333333334
