symbol,date,close,pct_change,turnover,rainbow_score,main_force_score,model_score,prob_up,prob_down,pred_label,volume_ratio_v3,pct_5d,pct_10d,pct_20d,break_20d_high,break_60d_high,red_count_3d,big_up_count_10d,limit_like_count_20d,position_60d,yaogu_v3_score,yaogu_v3_raw_score,yaogu_v3_risk,yaogu_v3_level,yaogu_v3_action,yaogu_v3_reason,stock_name,industry,board,themes,display_name,is_clean_pool,archive_date,archive_time,recommend_rank,review_date,review_close,next_pct_change,review_model_score,review_rainbow_score,review_main_force_score,review_prob_up,review_prob_down,review_signal_status,entry_close,real_return_pct,hit,big_win,big_loss,review_time
688512,2026-05-22,16.87,19.9858,15.8737,100.0,100.0,68.89655329434112,0.6889655329434111,0.1277078073778813,1.0,2.3730174707829903,9.120310478654602,27.803030303030308,33.149171270718234,1,1,2.0,2.0,2.0,1.0,100,135,0,S,重点观察,彩虹趋势极强；主力行为强；模型强看多；模型标签偏多；明显放量；成交额尚可；突破60日高点；涨停特征；近期多次大涨；近期有涨停基因,慧智微,其他,科创板,其他,688512 慧智微,False,2026-05-22,2026-05-22 21:40:57,1,2026-05-15,15.46,1.8445,68.89655329434112,100.0,70.0,0.6889655329434111,0.1277078073778813,强买观察,16.87,-8.358032009484296,False,False,True,2026-05-22 21:45:57
688700,2026-05-22,80.45,14.8138,9.1557,100.0,90.0,93.37949430695348,0.9337949430695348,0.0649444241772949,1.0,1.6383379184847753,4.480519480519485,29.75806451612904,26.99289660615627,1,1,1.0,4.0,2.0,0.9777877496073594,100,133,0,S,重点观察,彩虹趋势极强；主力行为强；模型强看多；模型标签偏多；温和放量；成交额充足；突破60日高点；涨停特征；近期多次大涨；近期有涨停基因,东威科技,其他,科创板,其他,688700 东威科技,False,2026-05-22,2026-05-22 21:40:57,2,2026-05-15,77.0,14.8911,93.37949430695348,100.0,100.0,0.9337949430695348,0.0649444241772949,强买观察,80.45,-4.2883778744561845,False,False,False,2026-05-22 21:45:57
688630,2026-05-22,298.3,11.2022,6.1557,100.0,90.0,0.0784836445154656,0.0007848364451546,0.410709362098425,0.0,1.261121114872094,15.302848749565158,15.10263929618767,16.897916175285268,1,1,2.0,2.0,1.0,0.9466546208570866,100,108,0,S,重点观察,彩虹趋势极强；主力行为强；成交额充足；突破60日高点；涨停特征；五日多阳；近期多次大涨；近期有涨停基因,芯碁微装,其他,科创板,其他,688630 芯碁微装,False,2026-05-22,2026-05-22 21:40:57,3,2026-05-15,258.71,-3.152,0.0784836445154656,100.0,20.0,0.0007848364451546,0.410709362098425,风险,298.3,-13.271873952396929,False,False,True,2026-05-22 21:45:57
688360,2026-05-22,26.81,11.6153,12.4863,100.0,100.0,0.3260446950117182,0.0032604469501171,0.2661774731464487,0.0,3.3613293175537087,34.723618090452256,35.404040404040394,45.31165311653116,1,1,2.0,2.0,2.0,0.8945035460992907,100,122,15,S,重点观察,彩虹趋势极强；主力行为强；爆量；成交额尚可；突破60日高点；涨停特征；五日多阳；近期多次大涨；近期有涨停基因；5日涨幅过大,德马科技,其他,科创板,其他,688360 德马科技,False,2026-05-22,2026-05-22 21:40:57,4,2026-05-15,19.9,3.6998,0.3260446950117182,40.0,20.0,0.0032604469501171,0.2661774731464487,弱,26.81,-25.773964938455805,False,False,True,2026-05-22 21:45:57
688257,2026-05-22,96.84,13.9428,9.3311,100.0,100.0,,,,,2.137425153651264,20.597758405977597,31.504617055947847,26.356993736952,1,1,2.0,2.0,2.0,0.9724288840262584,100,121,0,S,重点观察,彩虹趋势极强；主力行为强；明显放量；成交额充足；突破60日高点；涨停特征；五日多阳；近期多次大涨；近期有涨停基因,新锐股份,其他,科创板,其他,688257 新锐股份,True,2026-05-22,2026-05-22 21:40:57,5,,,,,,,,,,96.84,,False,False,False,2026-05-22 21:45:57
688010,2026-05-22,46.75,19.2602,8.8329,100.0,100.0,,,,,2.229271543428889,38.93016344725111,33.30481893356145,30.513679508654377,1,1,2.0,3.0,2.0,0.9975609756097562,100,117,15,S,重点观察,彩虹趋势极强；主力行为强；明显放量；成交额尚可；突破60日高点；涨停特征；五日多阳；近期多次大涨；近期有涨停基因；5日涨幅过大,福光股份,其他,科创板,其他,688010 福光股份,False,2026-05-22,2026-05-22 21:40:57,6,,,,,,,,,,46.75,,False,False,False,2026-05-22 21:45:57
688308,2026-05-22,132.0,15.7895,14.3822,100.0,90.0,,,,,1.6552854443635756,19.295074559421582,32.45033112582782,37.65773281885494,1,1,2.0,2.0,2.0,0.9486740804106075,100,115,0,S,重点观察,彩虹趋势极强；主力行为强；温和放量；成交额充足；突破60日高点；涨停特征；五日多阳；近期多次大涨；近期有涨停基因,欧科亿,其他,科创板,其他,688308 欧科亿,True,2026-05-22,2026-05-22 21:40:57,7,,,,,,,,,,132.0,,False,False,False,2026-05-22 21:45:57
688222,2026-05-22,31.6,5.2982,8.4642,100.0,90.0,,,,,1.4460259271914584,5.685618729097008,17.037037037037052,21.165644171779157,1,1,3.0,3.0,0.0,0.9254032258064514,100,102,0,S,重点观察,彩虹趋势极强；主力行为强；成交额充足；突破60日高点；大阳线；三连阳；近期多次大涨；下影承接,成都先导,其他,科创板,其他,688222 成都先导,True,2026-05-22,2026-05-22 21:40:57,8,,,,,,,,,,31.6,,False,False,False,2026-05-22 21:45:57
688079,2026-05-22,23.1,11.9729,15.0808,100.0,100.0,,,,,3.1035329228271413,31.774101540216783,40.68209500609012,38.075313807531394,1,1,3.0,3.0,2.0,0.9193037974683544,100,124,15,S,重点观察,彩虹趋势极强；主力行为强；爆量；成交额尚可；突破60日高点；涨停特征；三连阳；近期多次大涨；近期有涨停基因；5日涨幅过大,美迪凯,其他,科创板,其他,688079 美迪凯,False,2026-05-22,2026-05-22 21:40:57,9,,,,,,,,,,23.1,,False,False,False,2026-05-22 21:45:57
688165,2026-05-22,22.1,8.867,7.085,100.0,100.0,,,,,2.6529496698511656,8.174253548702893,11.955420466058776,29.54279015240331,1,0,2.0,2.0,0.0,0.8758620689655174,97,97,0,S,重点观察,彩虹趋势极强；主力行为强；明显放量；成交额尚可；突破20日高点；大阳线；五日多阳；近期多次大涨,埃夫特,其他,科创板,其他,688165 埃夫特,False,2026-05-22,2026-05-22 21:40:57,10,,,,,,,,,,22.1,,False,False,False,2026-05-22 21:45:57
