symbol,reason
sh.688004,成交额过低：35289764
sh.688007,成交额过低：79932204
sh.688013,成交额过低：51112729
sh.688015,成交额过低：40933726
sh.688021,成交额过低：66701278
sh.688022,成交额过低：79680642
sh.688026,成交额过低：28024888
sh.688030,成交额过低：30241470
sh.688038,成交额过低：74096870
sh.688051,成交额过低：65297950
sh.688056,成交额过低：24019833
sh.688057,成交额过低：15588777
sh.688058,成交额过低：37965916
sh.688060,成交额过低：18384058
sh.688061,成交额过低：40051804
sh.688067,成交额过低：34874905
sh.688070,成交额过低：68698171
sh.688071,成交额过低：55669128
sh.688075,成交额过低：18543598
sh.688077,成交额过低：74863450
sh.688078,成交额过低：19825334
sh.688085,成交额过低：74283039
sh.688089,成交额过低：66527172
sh.688092,成交额过低：28654791
sh.688096,成交额过低：53960636
sh.688103,成交额过低：76986852
sh.688105,成交额过低：34013332
sh.688113,成交额过低：39266565
sh.688115,成交额过低：62680766
sh.688119,成交额过低：69245330
sh.688121,成交额过低：49675778
sh.688128,成交额过低：56837661
sh.688129,成交额过低：46621575
sh.688130,成交额过低：46551219
sh.688132,成交额过低：21940667
sh.688137,成交额过低：48933370
sh.688151,成交额过低：53148790
sh.688152,成交额过低：34717993
sh.688162,成交额过低：77532912
sh.688175,成交额过低：75788808
sh.688177,成交额过低：75468037
sh.688184,成交额过低：9827585
sh.688189,成交额过低：69886361
sh.688193,成交额过低：43965105
sh.688197,成交额过低：75396952
sh.688198,成交额过低：56024622
sh.688203,成交额过低：47244677
sh.688207,成交额过低：57707728
sh.688211,成交额过低：18321884
sh.688215,成交额过低：73219824
sh.688216,成交额过低：68286317
sh.688217,成交额过低：26247757
sh.688219,成交额过低：57200673
sh.688225,成交额过低：56967713
sh.688230,成交额过低：75141404
sh.688232,成交额过低：49207624
sh.688236,成交额过低：38326296
sh.688237,成交额过低：65173947
sh.688238,成交额过低：65033755
sh.688244,成交额过低：34023479
sh.688246,成交额过低：63086039
sh.688247,成交额过低：21793260
sh.688255,成交额过低：57263945
sh.688259,成交额过低：65233316
sh.688265,成交额过低：29606280
sh.688269,成交额过低：71900093
sh.688276,成交额过低：34012958
sh.688285,成交额过低：46626088
sh.688289,成交额过低：61091440
sh.688290,成交额过低：67015473
sh.688292,成交额过低：71994340
sh.688296,成交额过低：24098261
sh.688298,成交额过低：26892376
sh.688306,成交额过低：74239011
sh.688310,成交额过低：43696570
sh.688315,成交额过低：42610552
sh.688317,成交额过低：77365465
sh.688320,成交额过低：73076236
sh.688329,成交额过低：50282198
sh.688334,成交额过低：60808426
sh.688338,成交额过低：38133501
