feature,importance
main_force_score,0.2580227608929168
pct_change,0.12196965486995465
return_1d,0.1164645127812814
close_ma5_ratio,0.08131111026329628
body_ratio,0.06447793766248745
change,0.05074956211168951
amplitude,0.047758220245508576
volume_ratio,0.04040025948808068
boll_position,0.03838531967855726
close_ma20_ratio,0.031425380674627024
turnover,0.030170237794996644
rsi_14,0.014263846135233469
close_ma60_ratio,0.01245657931032547
rsi_6,0.01141999266864277
volatility_10d,0.008776744013796516
volatility_20d,0.008464130631969718
rainbow_score,0.006759559575120566
lower_shadow_ratio,0.006103871072336595
macd_diff,0.005100827046649893
boll_width,0.0050131754309286685
volume,0.004378350539281795
upper_shadow_ratio,0.004365171833860571
macd,0.004146427651734185
ma120,0.003252354375605969
macd_signal,0.0029274605382223822
vol_ma20,0.002199295778377123
vol_ma5,0.002086573737393705
boll_low,0.0016653859852722413
amount,0.0016388134538570767
ma20,0.0014790757163716526
low_20d,0.0014214712640067508
ma5,0.0013878185154320626
ma60,0.0013037052729114762
boll_high,0.0012993771091988156
close,0.0012540556998135485
high_20d,0.001240431157467004
high,0.0011290534629758643
low,0.0011267275273765629
open,0.0011145759605428781
ma10,0.0010901920718984475
