symbol,stock_name,industry,board,themes
600000,浦发银行,其他,沪主板,其他
600001,邯郸钢铁,其他,沪主板,其他
600002,齐鲁石化,其他,沪主板,其他
600003,ST东北高,其他,沪主板,其他
600004,白云机场,其他,沪主板,其他
600005,武钢股份,其他,沪主板,其他
600006,东风股份,其他,沪主板,其他
600007,中国国贸,其他,沪主板,其他
600008,首创环保,其他,沪主板,其他
600009,上海机场,其他,沪主板,其他
600010,包钢股份,其他,沪主板,其他
600011,华能国际,其他,沪主板,其他
600012,皖通高速,其他,沪主板,其他
600015,华夏银行,其他,沪主板,其他
600016,民生银行,其他,沪主板,其他
600017,日照港,其他,沪主板,其他
600018,上港集团,其他,沪主板,其他
600019,宝钢股份,其他,沪主板,其他
600020,中原高速,其他,沪主板,其他
600021,上海电力,其他,沪主板,其他
600022,山东钢铁,其他,沪主板,其他
600023,浙能电力,其他,沪主板,其他
600025,华能水电,其他,沪主板,其他
600026,中远海能,其他,沪主板,其他
600027,华电国际,其他,沪主板,其他
600028,中国石化,其他,沪主板,其他
600029,南方航空,其他,沪主板,其他
600030,中信证券,其他,沪主板,其他
600031,三一重工,其他,沪主板,其他
600032,浙江新能,其他,沪主板,其他
600033,福建高速,其他,沪主板,其他
600035,楚天高速,其他,沪主板,其他
600036,招商银行,其他,沪主板,其他
600037,歌华有线,其他,沪主板,其他
600038,中直股份,其他,沪主板,其他
600039,四川路桥,其他,沪主板,其他
600048,保利发展,其他,沪主板,其他
600050,中国联通,其他,沪主板,其他
600051,宁波联合,其他,沪主板,其他
600052,东望时代,其他,沪主板,其他
600053,*ST九鼎,其他,沪主板,其他
600054,黄山旅游,其他,沪主板,其他
600055,万东医疗,其他,沪主板,其他
600056,中国医药,其他,沪主板,其他
600057,厦门象屿,其他,沪主板,其他
600058,五矿发展,其他,沪主板,其他
600059,古越龙山,其他,沪主板,其他
600060,海信视像,其他,沪主板,其他
600061,国投资本,其他,沪主板,其他
600062,华润双鹤,其他,沪主板,其他
600063,皖维高新,其他,沪主板,其他
600064,南京高科,其他,沪主板,其他
600065,*ST联谊,其他,沪主板,其他
600066,宇通客车,其他,沪主板,其他
600067,冠城新材,其他,沪主板,其他
600068,葛洲坝,其他,沪主板,其他
600069,退市银鸽,其他,沪主板,其他
600070,*ST富润,其他,沪主板,其他
600071,凤凰光学,其他,沪主板,其他
600072,中船科技,其他,沪主板,其他
600073,光明肉业,其他,沪主板,其他
600074,退市保千,其他,沪主板,其他
600075,新疆天业,其他,沪主板,其他
600076,康欣新材,其他,沪主板,其他
600077,*ST宋都,其他,沪主板,其他
600078,澄星股份,其他,沪主板,其他
600079,ST人福,其他,沪主板,其他
600080,ST金花,其他,沪主板,其他
600081,东风科技,其他,沪主板,其他
600082,ST海泰,其他,沪主板,其他
600083,*ST博信,其他,沪主板,其他
600084,*ST尼雅,其他,沪主板,其他
600085,同仁堂,其他,沪主板,其他
600086,退市金钰,其他,沪主板,其他
600087,退市长油,其他,沪主板,其他
600088,中视传媒,其他,沪主板,其他
600089,特变电工,其他,沪主板,其他
600090,退市济堂,其他,沪主板,其他
600091,退市明科,其他,沪主板,其他
600092,S*ST精密,其他,沪主板,其他
600093,退市易见,其他,沪主板,其他
600094,大名城,其他,沪主板,其他
600095,湘财股份,其他,沪主板,其他
600096,云天化,其他,沪主板,其他
600097,开创国际,其他,沪主板,其他
600098,广州发展,其他,沪主板,其他
600099,林海股份,其他,沪主板,其他
600100,同方股份,其他,沪主板,其他
600101,明星电力,其他,沪主板,其他
600102,莱钢股份,其他,沪主板,其他
600103,青山纸业,其他,沪主板,其他
600104,上汽集团,其他,沪主板,其他
600105,永鼎股份,其他,沪主板,其他
600106,重庆路桥,其他,沪主板,其他
600107,ST尔雅,其他,沪主板,其他
600108,亚盛集团,其他,沪主板,其他
600109,国金证券,其他,沪主板,其他
600110,诺德股份,其他,沪主板,其他
600111,北方稀土,其他,沪主板,其他
600112,*ST天成,其他,沪主板,其他
600113,浙江东日,其他,沪主板,其他
600114,东睦股份,其他,沪主板,其他
600115,中国东航,其他,沪主板,其他
600116,三峡水利,其他,沪主板,其他
600117,西宁特钢,其他,沪主板,其他
600118,中国卫星,其他,沪主板,其他
600119,*ST长投,其他,沪主板,其他
600120,浙江东方,其他,沪主板,其他
600121,郑州煤电,其他,沪主板,其他
600122,*ST宏图,其他,沪主板,其他
600123,兰花科创,其他,沪主板,其他
600125,铁龙物流,其他,沪主板,其他
600126,杭钢股份,其他,沪主板,其他
600127,金健米业,其他,沪主板,其他
600128,苏豪弘业,其他,沪主板,其他
600129,太极集团,其他,沪主板,其他
600130,波导股份,其他,沪主板,其他
600131,国网信通,其他,沪主板,其他
600132,重庆啤酒,其他,沪主板,其他
600133,东湖高新,其他,沪主板,其他
600135,乐凯胶片,其他,沪主板,其他
600136,ST明诚,其他,沪主板,其他
600137,浪莎股份,其他,沪主板,其他
600138,中青旅,其他,沪主板,其他
600139,*ST西源,其他,沪主板,其他
600141,兴发集团,其他,沪主板,其他
600143,金发科技,其他,沪主板,其他
600145,退市新亿,其他,沪主板,其他
600146,退市环球,其他,沪主板,其他
600148,长春一东,其他,沪主板,其他
600149,廊坊发展,其他,沪主板,其他
600150,中国船舶,其他,沪主板,其他
600151,航天机电,其他,沪主板,其他
600152,维科技术,其他,沪主板,其他
600153,建发股份,其他,沪主板,其他
600155,华创云信,其他,沪主板,其他
600156,华升股份,其他,沪主板,其他
600157,永泰能源,其他,沪主板,其他
600158,中体产业,其他,沪主板,其他
600159,大龙地产,其他,沪主板,其他
600160,巨化股份,其他,沪主板,其他
600161,天坛生物,其他,沪主板,其他
600162,香江控股,其他,沪主板,其他
600163,中闽能源,其他,沪主板,其他
600165,ST宁科,其他,沪主板,其他
600166,福田汽车,其他,沪主板,其他
600167,联美控股,其他,沪主板,其他
600168,武汉控股,其他,沪主板,其他
600169,ST太重,其他,沪主板,其他
600170,上海建工,其他,沪主板,其他
600171,上海贝岭,其他,沪主板,其他
600172,黄河旋风,其他,沪主板,其他
600173,卧龙新能,其他,沪主板,其他
600175,退市美都,其他,沪主板,其他
600176,中国巨石,其他,沪主板,其他
600177,雅戈尔,其他,沪主板,其他
600178,东安动力,其他,沪主板,其他
600179,安通控股,其他,沪主板,其他
600180,*ST瑞茂,其他,沪主板,其他
600181,S*ST云大,其他,沪主板,其他
600182,S佳通,其他,沪主板,其他
600183,生益科技,其他,沪主板,其他
600184,光电股份,其他,沪主板,其他
600185,珠免集团,其他,沪主板,其他
600186,莲花控股,其他,沪主板,其他
600187,国中水务,其他,沪主板,其他
600188,兖矿能源,其他,沪主板,其他
600189,泉阳泉,其他,沪主板,其他
600190,退市锦港,其他,沪主板,其他
600191,华资实业,其他,沪主板,其他
600192,长城电工,其他,沪主板,其他
600193,*ST创兴,其他,沪主板,其他
600195,中牧股份,其他,沪主板,其他
600196,复星医药,其他,沪主板,其他
600197,伊力特,其他,沪主板,其他
600198,大唐电信,其他,沪主板,其他
600199,金种子酒,其他,沪主板,其他
600200,退市苏吴,其他,沪主板,其他
600201,生物股份,其他,沪主板,其他
